date,close,high,low,open,volume
17-02-2023,258.0599976,260.0899963,256,259.3900146,30000100
21-02-2023,252.6699982,255.4900055,251.5899963,254.4799957,28397400
22-02-2023,251.5099945,254.3399963,250.3399963,254.0899963,22491100
23-02-2023,254.7700043,256.8399963,250.4799957,255.5599976,29219100
24-02-2023,249.2200012,251,248.1000061,249.9600067,24990900
27-02-2023,250.1600037,252.8200073,249.3899994,252.4600067,21190000
28-02-2023,249.4199982,251.4900055,248.7299957,249.0700073,22491000
01-03-2023,246.2700043,250.9299927,245.7899933,250.7599945,27565300
02-03-2023,251.1100006,251.3999939,245.6100006,246.5500031,24808200
03-03-2023,255.2899933,255.6199951,251.3899994,252.1900024,30760100
06-03-2023,256.8699951,260.1199951,255.9799957,256.4299927,24109800
07-03-2023,254.1499939,257.6900024,253.3899994,256.2999878,21473200
08-03-2023,253.6999969,254.5399933,250.8099976,254.0399933,17340200
09-03-2023,252.3200073,259.5599976,251.5800018,255.8200073,26653400
10-03-2023,248.5899963,252.7899933,247.6000061,251.0800018,28333900
13-03-2023,253.9199982,257.9100037,245.7299957,247.3999939,33339700
14-03-2023,260.7900085,261.0700073,255.8600006,256.75,33620300
15-03-2023,265.4400024,266.480011,259.2099915,259.980011,46028000
16-03-2023,276.2000122,276.5599976,263.2799988,265.2099915,54768800
17-03-2023,279.4299927,283.3299866,276.3200073,278.2600098,69527400
20-03-2023,272.230011,277.480011,269.8500061,276.980011,43466600
21-03-2023,273.7799988,275,269.519989,274.8800049,34558700
22-03-2023,272.2900085,281.0400085,272.1799927,273.3999939,34873300
23-03-2023,277.6600037,281.0599976,275.2000122,277.9400024,36610900
24-03-2023,280.5700073,280.6300049,275.2799988,277.2399902,28172000
27-03-2023,276.3800049,281.4599915,275.519989,280.5,26840200
28-03-2023,275.230011,276.1400146,272.0499878,275.7900085,21878600
29-03-2023,280.5100098,281.1400146,278.4100037,278.9599915,25087000
30-03-2023,284.0499878,284.4599915,281.480011,284.230011,25053400
31-03-2023,288.2999878,289.269989,283,283.730011,32766000
03-04-2023,287.230011,288.269989,283.9500122,286.519989,24883300
04-04-2023,287.1799927,290.4500122,285.6700134,287.230011,25824300
05-04-2023,284.3399963,287.1499939,282.9200134,285.8500061,22064800
06-04-2023,291.6000061,292.0799866,282.0299988,283.2099915,29770300
10-04-2023,289.3900146,289.6000061,284.7099915,289.2099915,23103000
11-04-2023,282.8299866,285.980011,281.6400146,285.75,27276600
12-04-2023,283.4899902,287.0100098,281.9599915,284.7900085,27403400
13-04-2023,289.8399963,289.8999939,283.1700134,283.5899963,24222700
14-04-2023,286.1400146,288.480011,283.6900024,287,20987900
17-04-2023,288.7999878,291.6000061,286.1600037,289.9299927,23836200
18-04-2023,288.3699951,291.7600098,287.0100098,291.5700073,20161800
19-04-2023,288.4500122,289.0499878,284.5400085,285.9899902,17150300
20-04-2023,286.1099854,289.0299988,285.0799866,285.25,23244400
21-04-2023,285.7600098,286.269989,283.0599976,285.0100098,21676400
24-04-2023,281.769989,284.9500122,278.7200012,282.0899963,26611000
25-04-2023,275.4200134,281.6000061,275.3699951,279.5100098,45772200
26-04-2023,295.3699951,299.5700073,292.730011,296.7000122,64599200
27-04-2023,304.8299866,305.2000122,295.25,295.9700012,46462600
28-04-2023,307.2600098,308.9299927,303.3099976,304.0100098,36446700
01-05-2023,305.5599976,308.6000061,305.1499939,306.9700012,21294100
02-05-2023,305.4100037,309.1799927,303.9100037,307.7600098,26404400
03-05-2023,304.3999939,308.6099854,304.0899963,306.6199951,22360800
04-05-2023,305.4100037,307.7600098,303.3999939,306.2399902,22519900
05-05-2023,310.6499939,311.9700012,304.269989,305.7200012,28181200
08-05-2023,308.6499939,310.2000122,306.0899963,310.1300049,21318600
09-05-2023,307,310.0400085,306.3099976,308,21340800
10-05-2023,312.3099976,313,307.6700134,308.6199951,30078000
11-05-2023,310.1099854,311.1199951,306.2600098,310.1000061,31680200
12-05-2023,308.9700012,310.6499939,306.6000061,310.5499878,19758100
15-05-2023,309.4599915,309.8999939,307.5899963,309.1000061,16336500
16-05-2023,311.7399902,313.7099915,309.8299866,309.8299866,26730300
17-05-2023,314,314.4299927,310.7399902,312.2900085,24315000
18-05-2023,318.519989,319.0400085,313.7200012,314.5299988,27276000
19-05-2023,318.3399963,318.75,316.3699951,316.7399902,27529500
